info,personality,characteristic,princess_id
"올드보이도 못 견뎠을 장장18년을 탑 안에서만 지낸 끈기만점의 소녀 라푼젤. 어느 날 자신의 탑에 침입한 왕국 최고의 대도를 한방에 때려잡는다. 그리고 그를 협박해 꿈에도 그리던 집밖으로의 모험을 단행한다. 과잉보호 모친의 영향으로 세상을 험난한 곳으로만 상상하던 라푼젤. 그런 그녀 앞에 군기 빡 쎈 왕실 경비마 맥시머스의 추격, 라이더에게 복수의 칼날을 가는 스태빙턴 형제의 위협, 라푼젤의 가짜 엄마 고델의 무서운 음모 등이 얽히고 설켜 점점 흥미진진한 사건들이 터지기 시작한다. 그러나 세상물정 깜깜한 우리의 라푼젤은 자신 앞에 펼쳐진 스릴 넘치는 세상을 맘껏 즐기는데...",호기심이 많고 활달한 성격,만지면 젊음을 유지할 수 있는 금빛 장(長)모,1
스코틀랜드의 전통 깊은 왕국의 공주 ‘메리다’는 드레스와 구두보다 말을 타고 활쏘는 것을 좋아하는 천방지축 장난꾸러기. 하지만 메리다의 엄마인 ‘엘리노어 왕비’는 그녀를 우아하고 아름다운 공주로 만들기 위해 메리다가 제일 싫어하는 ‘공주 수업’을 강요한다. 게다가 상상만해도 끔찍한 결혼까지! 메리다는 엄마에게 화가 나 가지 말라고 했던 비밀의 숲으로 들어갔다가 마녀를 만나 엄마를 바꿔달라고 부탁한다. 그런데 마녀의 마법에 걸린 엄마가 갑자기 곰으로 변하게 된다! 과연 메리다는 엄마의 마법을 풀고 왕국을 구할 수 있을까?! 엄마를 구하기 위한 메리다의 마법 같은 모험이 시작된다!,상당히 진취적이고 주체적인 성격,공주로서의 삶과 로맨스를 배제하는 독불장군 ,2
"모든 것이 완벽했던 모투누이 섬이 저주에 걸리자 바다가 선택한 소녀 모아나는 섬을 구하기 위해 머나먼 항해를 떠난다. 저주를 풀기 위해서는 오직 신이 선택한 전설의 영웅 마우이의 힘이 필요한 상황! 모아나는 마우이를 우여곡절 끝 설득해, 운명적 모험을 함께 떠나는데… 바다가 부르면 운명적 모험이 시작된다!",다혈질,고집이 쎄지만 그만큼 대범함과 책임감을 가지고 있다.,3
"파씨 가문의 외동딸 뮬란은 자기 주장이 워낙 강해 선을 볼때마다 퇴짜를 맞는 시대를 앞선 여성이다. 한편, 훈족이 국경을 침략하자 뮬란의 연로한 아버지도 징집 명령을 받게되고, 뮬란은 심각한 고심에 빠지게 된다. 아버지의 충성심이 워낙 강해서 뮬란의 만류를 뿌리쳤고, 아버지를 대신 하려해도 여자는 절대로 참전할 수 없기 때문이다. 고민에 고민을 거듭하던 뮬란은 남장을 하고 전장에 참가하기로 비장한 결심을 한다. 한편, '파'시 가문의 조상들이 유령으로 환생하여 대책회의를 하게 되고, 결국 천방지축 수호신 무슈가 뮬란을 따라 나서게 된다. 뮬란은 의지가 워낙 강한 여성이라 점점 한 사람의 병사로 성장하게 된다. 한편, 여자라는 사실이 들통나지 않기 위해 살얼음판 같은 나날을 보내면서도, 뮬란은 자신도 모르게 용맹한 중대장 샹에게 사랑을 품게 된다. 용감하게 머리를 자르고 남장을 했지만 여자의 마음은 버릴 수 없었던 것일까? 그러던 중, 뮬란이 속한 부대가 눈덮인 설원을 통과할 무렵 2천여명이 넘는 훈족의 군대에게 추격을 당하게 되고, 뮬란이 눈사태를 일으켜 훈족의 군사들을 무찌르는 기지를 발휘한다. 그러나, 부상당한 뮬란은 치료를 받다가 여자인 사실이 밝혀져 군령을 어긴 죄로 위기에 처하지만, 중대장 샹의 도움으로 목숨을 구한다. 한편, 물러간 줄 알았던 훈족의 군사들은 다시 황궁으로 쳐들어와 황제까지 협박하고 나라는 다시 위기에 처하게 된다. 이때 아름다운 영웅 뮬란이 다시 한번 용맹을 발휘하여 황제와 나라를 구하게 되고, 황제는 수많은 백성 앞에서 뮬란을 영웅으로 대접하는데.",지혜롭고 효심이 깊음,매사에 적극적이고 도전적인 진취적인 삶을 만들고자 한다. 싸움도 잘한다.,4
"아주 먼 옛날, 아름다운 왕비는 예쁜 공주를 낳았고 그녀를 백설공주라 불렀다. 아름답고 마음씨 고운 백설공주는 모든 사람들의 사랑을 받으며 자라났지만 안타깝게도 왕비가 돌아가시고 새로 들어온 계모가 여왕이 되자 혹독한 시달림을 받았다. 여왕은 매일 아침, 마법 거울에게 ""거울아 거울, 세상에서 가장 아름다운 사람은 누구지?""라고 물으면, ""여왕님이 세상에서 가장 아름답습니다""라고 대답하여 여왕의 마음을 기쁘게 해 주었지만 이후 여느때와 다름없이 마술 거울에게 질문을 던지자, 마술 거울은 자신이 아닌 백설공주가 가장 아름답다는 뜻밖의 대답을 들려준다. 분노에 가득찬 여왕은 사냥꾼을 불러 백설공주를 죽이도록 명령했지만 사냥꾼은 공주의 순수한 마음씨에 감동했고 그는 그녀에게 악독한 계모를 피해서 숲의 더 깊은 곳으로 도망치도록 일러준다. 날이 밝자 숲속의 동물들의 도움을 받아 그녀는 작고 너저분한 집에 도착했는데 그녀는 동물들의 도움을 받아 하녀로서의 다년간의 경험을 십분활용, 집안을 깨끗이 정돈하여 놓고 잠이 든다. 일과를 마치고 집에 돌아온 7명의 난쟁이들은 정돈된 집에서 처음 느껴보는 안락감을 느끼고 백설공주를 가정부로 채용한다. 그 사이 마법거울은 다시금 여왕에게 왕국의 가장 아름다운 이를 밝히는데 여전히 백설공주라 하며 백설공주가 아직 살아있는 것을 알게되고 여왕은 공주를 독살하기 위해 잠시동안 그녀의 외모를 바꿀 마법약을 만든다. 이후 구부정하고 못생긴 할머니로 변장하고 백설공주가 있는 집에 도착한다. 언제나 충실한 동물들이 이것을 눈치채고 난쟁이들에게 경고하러 갔지만 그들은 너무 늦게 도착해버렸고 백설 공주는 이미 사과를 한입 베어물었던 것이다. 난쟁이들은 마녀를 산끝까지 추적하며 그녀를 처리한다. 차마 아름다운 백설공주와 이별할 수 없었던 난쟁이들은 유리로 관을 만들어 그녀를 눕히고 그 주위에 둘러서 슬퍼하고있는데 그녀에게 매혹되어 그녀를 찾아다니던 왕자가 마침내 그곳에 도착하게 된다. 그녀의 차가운 붉은 입술에 그가 키스하자 오직 진정한 사랑의 첫 입맞춤만이 깰 수 있던 중독으로 인한 죽음의 늪에서 백설공주는 깨어난다. 숲의 구석구석은 마침내 그녀가 그리던 왕자님을 만난 행복한 백설공주를 위해 기쁨으로 가득찬다.",해맑고 똑부러지는 성격,"앵두같은 입술을 가진 미인, 집안일 장인",5
"똑똑하고 아름다운 ‘벨’은 아버지와 살고 있는 작은 마을에서 벗어나 운명적인 사랑과 모험을 꿈꾼다. 어느 날 행방불명된 아버지를 찾아 폐허가 된 성에 도착한 벨은 저주에 걸린 ‘야수’를 만나 아버지 대신 성에 갇히고, 야수 뿐 아니라 성 안의 모든 이들이 신비로운 장미의 마지막 꽃잎이 떨어지기 전에 저주를 풀지 못하면 영원히 인간으로 돌아올 수 없는 운명임을 알게 된다. 성에서 도망치려던 벨은 위험한 상황에서 자신을 보호해 준 야수의 진심을 알게 되면서 차츰 마음을 열어가기 시작하는데…",매우 독립적이고 개방적이며 지적인 성격,신분 상승의 대명사,6
"부자인 아버지 아래에서 태어난 신데렐라는 어렸을 적 어머니를 여의고, 새어머니와 함께 살아가게 된다. 그러나, 장사를 나갔던 아버지의 부고 소식이 들려오고, 새어머니에 의해 그 전과 전혀 다른 삶을 살아가게 된다. 하지만, 항상 친절함을 잃지 않는 그녀에게는 결국 다른 기회가 찾아오게 되는데..","친절하고, 따뜻하며, 사려깊은 성격","생명을 갖는 모든 생명체를 동등하게 대하는 만물평등주의자, 유명한 유리구두 한 짝의 주인공 ",7
바다의 왕 트리톤의 여식인 에리얼은 원래 금지되었던 사람과의 접촉이지만 이를 무시하고 한 선박에서 열린 에릭 왕자의 생일파티를 구경하러 갔는데 이 때 에리얼은 에릭왕자에게 반하게 된다. 하지만 갑자기 불어닥친 폭풍에 난파당하고 왕자가 해일에 휩쓸리게 된다. 에리얼은 그를 구조했고 해안가로 돌려 보냈지만 그녀는 자신이 왕자의 곁에 있고 싶어하며 사람이 되고 싶다는 위험한 결심을 하게 되는데…,호기심이 많고 철부지 같은 성격,원작에선 물거품이 되었지만 디즈니의 구원을 받아 한계를 뛰어넘는 사랑에 성공함.,8
"서로가 최고의 친구였던 자매 ‘엘사’와 ‘안나’. 하지만 언니 ‘엘사’에게는 하나뿐인 동생에게조차 말 못할 비밀이 있다. 모든 것을 얼려버리는 신비로운 힘이 바로 그것. ‘엘사’는 통제할 수 없는 자신의 힘이 두려워 왕국을 떠나고, 얼어버린 왕국의 저주를 풀기 위해 ‘안나’는 언니를 찾아 환상적인 여정을 떠나는데……",밝고 명랑하고 적극적인 말괄량이 소녀,다른 공주들과 다르게 평범함이 매력인 은근 개그캐릭터,9
"서로가 최고의 친구였던 자매 ‘엘사’와 ‘안나’. 하지만 언니 ‘엘사’에게는 하나뿐인 동생에게조차 말 못할 비밀이 있다. 모든 것을 얼려버리는 신비로운 힘이 바로 그것. ‘엘사’는 통제할 수 없는 자신의 힘이 두려워 왕국을 떠나고, 얼어버린 왕국의 저주를 풀기 위해 ‘안나’는 언니를 찾아 환상적인 여정을 떠나는데……",온화하고 장난기가 많지만 때론 우아하며 운명을 개척하는 진취적인 성격,디즈니 공주들 중 가장 큰 팬덤을 가진 걸크러쉬 공주,10
"왕과 왕비 사이에서 오랜 기다림 끝에 오로라 공주가 태어난다. 이에 프로라, 포나, 메리웨더 요정 공주에게 한가지씩 축복을 내려주려하지만 축제에 초대 받지 못한 데 앙심을 품은 악의 요정 멀레피센트가 오로라 공주는 16세 생일날 물레 바늘에 손가락이 찔려 죽을 것이라는 저주를 내리고 사라진다. 그러자 메리웨더 요정은 축복을 내려주는 대신 깊은 잠에 빠져 진정한 사랑의 키스만이 공주를 깨울 수 있게끔 바꿔놓고 마녀의 눈을 피해 숲속에서 공주를 기르도록 설득한다. 그렇게 숲 속에서 자라던 어느날 숲속 동물들과 노래를 부르다 근처를 지나던 이웃나라의 필립 왕자와 첫 눈에 사랑에 빠지는데 요정들에 의해 자신의 신분을 알게 된 공주는 궁으로 돌아가게 되었고 그것을 알게된 멀레피센트에 의해 결국 16세 생일날 깊은 잠에 빠지게 되는데...",,몹쓸 악의 요정때문에 영문도 모른채 저주에 걸렸던 억울한 공주,11
좀도둑이었던 알라딘은 어느 날 궁궐을 탈출한 자스민 공주에게 한눈에 반했고 시장을 둘러보는 중 위험에 처한 자스민 공주를 구하며 강한 인상을 남겼다. 이후 알라딘은 자스민 공주와의 결실을 꿈꾸게 되고 그와중에 사악한 마법사 자파르의 꼬임에 넘어가 부자가 되기 위해 램프를 대신 찾으러 갔고 동굴 속에서 램프를 발견하지만 동굴이 무너져 갇혀버리게 된다. 하지만 램프의 요정 지니와 만나며 위기를 탈출했고 지니의 도움을 받아 자스민 공주에게 적극적인 대쉬를 하게 되는데 과연 자스민 공주와 알라딘은 서로 사랑하게 될 것인가...,적극적이고 모험심이 강함.,신분을 초월하는 사랑을 이뤄낸 혁신적인 공주,12
"티아나는 어릴 적부터 삶은 스스로 만들어나가는 것이라 가르치던 아버지의 영향을 받아 굉장히 성실하고 자기주도적인 사람으로 자라났다. 티아나는 자신만의 레스토랑을 세우기 위해, 휴식을 포기하고 밤낮으로 일을 하며 살아간다. 이를 위해 엄청난 노력을 하지만, 티아나는 거듭된 좌절을 겪게 된다. 그러던 중, 별에게 소원을 빌어보았지만 소원이 이뤄지기는 커녕, 개구리만 어디선가 튀어나온다. 하지만 이 개구리는 보통 개구리가 아닌 마법에 걸린 능글능글한 자칭 왕자 개구리였던 것이다. 첫 만남부터 키스를 원하는 뻔뻔함을 보이지만  '개구리 왕자'이야기를 알고 있는 티아나는 '딱 한번만'이라는 말에 넘어가 그 푸르딩딩한 입술에 눈 딱감고 키스한다. 그리고 눈을 떴지만 왕자는 어디에도 없고 되려 그녀가 개구리로 변하게 되는데..",성실하고 자기주도적인 성격,파격적인 개구리와 인간의 사랑이야기 속 주인공,13
"1607년 신대륙 탐험의 시대, 젊고 미남인 선장 존 스미스와 황금에 눈먼 총독 존 랫클리프는 신대륙을 향해 모험을 떠난다. 한편, 원주민 추장의 딸인 포카혼타스는 신대륙 버지니아에 평화롭게 살고있다. 그러던 어느날 전투에서 이기고 돌아온 추장 포와탄이 자신의 딸 포카혼타스와 용맹스러운 전사 코코움과의 혼인을 맺어주려 하자 그녀는 인생의 중대한 해답을 찾기 위해 400살 먹은 정령인 버드나무 할머니를 찾아가는 등 노력을 하며 고민을 하기 시작한다. 그와 동시에 영국의 개척자들이 신세계인 미대륙 버지니아에 닻을 내리게 되는데 그로 인해 포카혼타스가 사는 평화로운 마을에는 파문이 일기 시작한다. 인디언 추장은 자신의 딸의 결혼을 서두르지만 포카혼타스는 싫어한다. 그러던 어느 날 스미스와 포카혼타스는 우연히 만나서 사랑하게 되었지만 랫클리프는 인디언들과 전쟁을 하려한다. 스미스는 전쟁을 막으려고 인디언 전사 코코움의 죽음을 계기로 인디언들에게 잡힌다. 전쟁은 시작되고, 스미스가 처형되려는 찰나에 포카혼타스가 나타나 스미스를 사랑한다고 말하고 추장은 스미스를 풀어준다. 그 후 이 둘의 운명은...?",자연과 평화를 지켜내는 책임감 강한 여전사의 성격,디즈니 주인공 중 유일하게 이루어지지 않은 커플의 이야기,14
